"Year","State","County ID","State / County Name","All Ages SAIPE Poverty Universe","All Ages in Poverty Count","All Ages in Poverty Count LB 90%","All Ages in Poverty Count UB 90%","90% Confidence Interval (All Ages in Poverty Count)","All Ages in Poverty Percent","All Ages in Poverty Percent LB 90%","All Ages in Poverty Percent UB 90%","90% Confidence Interval (All Ages in Poverty Percent)","Under Age 18 SAIPE Poverty Universe","Under Age 18 in Poverty Count","Under Age 18 in Poverty Count LB 90%","Under Age 18 in Poverty Count UB 90%","90% Confidence Interval (Under Age 18 in Poverty Count)","Under Age 18 in Poverty Percent","Under Age 18 in Poverty Percent LB 90%","Under Age 18 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 18 in Poverty Percent)","Ages 5 to 17 in Families SAIPE Poverty Universe","Ages 5 to 17 in Families in Poverty Count","Ages 5 to 17 in Families in Poverty Count LB 90%","Ages 5 to 17 in Families in Poverty Count UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Count)","Ages 5 to 17 in Families in Poverty Percent","Ages 5 to 17 in Families in Poverty Percent LB 90%","Ages 5 to 17 in Families in Poverty Percent UB 90%","90% Confidence Interval (Ages 5 to 17 in Families in Poverty Percent)","Under Age 5 SAIPE Poverty Universe","Under Age 5 in Poverty Count","Under Age 5 in Poverty Count LB 90%","Under Age 5 in Poverty Count UB 90%","90% Confidence Interval (Under Age 5 in Poverty Count)","Under Age 5 in Poverty Percent","Under Age 5 in Poverty Percent LB 90%","Under Age 5 in Poverty Percent UB 90%","90% Confidence Interval (Under Age 5 in Poverty Percent)","Median Household Income in Dollars","Median Household Income in Dollars LB 90%","Median Household Income in Dollars UB 90%","90% Confidence Interval (Median Household Income in Dollars)"
"2018","16","16009","Benewah County (ID)","9,134","1,342","1,057","1,627","1,057 to 1,627","14.7","11.6","17.8","11.6 to 17.8","2,056","468","337","599","337 to 599","22.8","16.4","29.2","16.4 to 29.2","1,541","318","217","419","217 to 419","20.6","14.0","27.2","14.0 to 27.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,451","$44,884","$52,018","$44,884 to $52,018"
"2018","16","16011","Bingham County (ID)","45,819","5,510","4,271","6,749","4,271 to 6,749","12.0","9.3","14.7","9.3 to 14.7","14,090","2,243","1,633","2,853","1,633 to 2,853","15.9","11.6","20.2","11.6 to 20.2","10,657","1,519","1,051","1,987","1,051 to 1,987","14.3","9.9","18.7","9.9 to 18.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,941","$45,985","$55,897","$45,985 to $55,897"
"2018","16","16013","Blaine County (ID)","22,545","1,575","1,198","1,952","1,198 to 1,952","7.0","5.3","8.7","5.3 to 8.7","4,955","401","284","518","284 to 518","8.1","5.7","10.5","5.7 to 10.5","3,868","272","184","360","184 to 360","7.0","4.7","9.3","4.7 to 9.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$76,113","$67,998","$84,228","$67,998 to $84,228"
"2018","16","16015","Boise County (ID)","7,586","974","758","1,190","758 to 1,190","12.8","10.0","15.6","10.0 to 15.6","1,242","241","178","304","178 to 304","19.4","14.3","24.5","14.3 to 24.5","961","160","111","209","111 to 209","16.6","11.5","21.7","11.5 to 21.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$56,837","$50,585","$63,089","$50,585 to $63,089"
"2018","16","16017","Bonner County (ID)","44,311","6,240","5,040","7,440","5,040 to 7,440","14.1","11.4","16.8","11.4 to 16.8","8,644","1,529","1,076","1,982","1,076 to 1,982","17.7","12.5","22.9","12.5 to 22.9","6,391","1,036","675","1,397","675 to 1,397","16.2","10.6","21.8","10.6 to 21.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,373","$47,560","$55,186","$47,560 to $55,186"
"2018","16","16019","Bonneville County (ID)","115,885","12,262","9,993","14,531","9,993 to 14,531","10.6","8.6","12.6","8.6 to 12.6","35,511","4,687","3,495","5,879","3,495 to 5,879","13.2","9.8","16.6","9.8 to 16.6","25,793","3,065","2,151","3,979","2,151 to 3,979","11.9","8.4","15.4","8.4 to 15.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$60,444","$56,049","$64,839","$56,049 to $64,839"
"2018","16","16021","Boundary County (ID)","11,862","1,603","1,232","1,974","1,232 to 1,974","13.5","10.4","16.6","10.4 to 16.6","2,723","608","426","790","426 to 790","22.3","15.6","29.0","15.6 to 29.0","2,010","441","290","592","290 to 592","21.9","14.4","29.4","14.4 to 29.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,118","$42,980","$51,256","$42,980 to $51,256"
"2018","16","16023","Butte County (ID)","2,594","392","299","485","299 to 485","15.1","11.5","18.7","11.5 to 18.7","625","114","81","147","81 to 147","18.2","12.9","23.5","12.9 to 23.5","483","77","52","102","52 to 102","15.9","10.7","21.1","10.7 to 21.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,050","$46,740","$53,360","$46,740 to $53,360"
"2018","16","16025","Camas County (ID)","1,128","109","83","135","83 to 135","9.7","7.4","12.0","7.4 to 12.0","264","40","29","51","29 to 51","15.2","10.8","19.6","10.8 to 19.6","209","26","18","34","18 to 34","12.4","8.4","16.4","8.4 to 16.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$53,866","$48,091","$59,641","$48,091 to $59,641"
"2018","16","16027","Canyon County (ID)","220,055","25,416","21,771","29,061","21,771 to 29,061","11.5","9.8","13.2","9.8 to 13.2","62,639","9,517","7,641","11,393","7,641 to 11,393","15.2","12.2","18.2","12.2 to 18.2","45,974","6,238","4,834","7,642","4,834 to 7,642","13.6","10.5","16.7","10.5 to 16.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$53,381","$50,595","$56,167","$50,595 to $56,167"
"2018","16","16029","Caribou County (ID)","6,973","624","468","780","468 to 780","8.9","6.7","11.1","6.7 to 11.1","2,008","230","163","297","163 to 297","11.5","8.2","14.8","8.2 to 14.8","1,523","155","104","206","104 to 206","10.2","6.9","13.5","6.9 to 13.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$61,219","$54,762","$67,676","$54,762 to $67,676"
"2018","16","16031","Cassia County (ID)","23,510","3,046","2,400","3,692","2,400 to 3,692","13.0","10.3","15.7","10.3 to 15.7","7,487","1,277","956","1,598","956 to 1,598","17.1","12.8","21.4","12.8 to 21.4","5,609","856","612","1,100","612 to 1,100","15.3","10.9","19.7","10.9 to 19.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,804","$49,031","$54,577","$49,031 to $54,577"
"2018","16","16033","Clark County (ID)","851","132","100","164","100 to 164","15.5","11.7","19.3","11.7 to 19.3","197","41","29","53","29 to 53","20.8","14.7","26.9","14.7 to 26.9","148","28","19","37","19 to 37","18.9","12.6","25.2","12.6 to 25.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,471","$43,239","$53,703","$43,239 to $53,703"
"2018","16","16035","Clearwater County (ID)","8,004","1,242","970","1,514","970 to 1,514","15.5","12.1","18.9","12.1 to 18.9","1,354","314","224","404","224 to 404","23.2","16.6","29.8","16.6 to 29.8","1,026","220","150","290","150 to 290","21.4","14.6","28.2","14.6 to 28.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$46,417","$41,444","$51,390","$41,444 to $51,390"
"2018","16","16037","Custer County (ID)","4,261","625","485","765","485 to 765","14.7","11.4","18.0","11.4 to 18.0","732","170","125","215","125 to 215","23.2","17.1","29.3","17.1 to 29.3","534","125","90","160","90 to 160","23.4","16.8","30.0","16.8 to 30.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,682","$42,438","$52,926","$42,438 to $52,926"
"2018","16","16039","Elmore County (ID)","26,562","3,435","2,775","4,095","2,775 to 4,095","12.9","10.4","15.4","10.4 to 15.4","6,830","1,373","1,051","1,695","1,051 to 1,695","20.1","15.4","24.8","15.4 to 24.8","4,551","944","703","1,185","703 to 1,185","20.7","15.4","26.0","15.4 to 26.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,344","$45,890","$52,798","$45,890 to $52,798"
"2018","16","16041","Franklin County (ID)","13,612","1,194","929","1,459","929 to 1,459","8.8","6.9","10.7","6.9 to 10.7","4,341","521","383","659","383 to 659","12.0","8.8","15.2","8.8 to 15.2","3,333","361","257","465","257 to 465","10.8","7.7","13.9","7.7 to 13.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$58,170","$52,391","$63,949","$52,391 to $63,949"
"2018","16","16043","Fremont County (ID)","12,701","1,940","1,583","2,297","1,583 to 2,297","15.3","12.5","18.1","12.5 to 18.1","3,248","722","554","890","554 to 890","22.2","17.0","27.4","17.0 to 27.4","2,392","503","368","638","368 to 638","21.0","15.4","26.6","15.4 to 26.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,155","$46,824","$55,486","$46,824 to $55,486"
"2018","16","16045","Gem County (ID)","17,441","2,338","1,820","2,856","1,820 to 2,856","13.4","10.4","16.4","10.4 to 16.4","3,956","797","576","1,018","576 to 1,018","20.1","14.5","25.7","14.5 to 25.7","2,901","543","372","714","372 to 714","18.7","12.8","24.6","12.8 to 24.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,857","$44,661","$55,053","$44,661 to $55,053"
"2018","16","16047","Gooding County (ID)","15,113","2,071","1,626","2,516","1,626 to 2,516","13.7","10.8","16.6","10.8 to 16.6","4,126","808","604","1,012","604 to 1,012","19.6","14.7","24.5","14.7 to 24.5","3,042","547","390","704","390 to 704","18.0","12.8","23.2","12.8 to 23.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,302","$46,530","$56,074","$46,530 to $56,074"
"2018","16","16049","Idaho County (ID)","16,004","2,587","2,092","3,082","2,092 to 3,082","16.2","13.1","19.3","13.1 to 19.3","3,211","696","495","897","495 to 897","21.7","15.4","28.0","15.4 to 28.0","2,434","465","308","622","308 to 622","19.1","12.7","25.5","12.7 to 25.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$40,569","$36,391","$44,747","$36,391 to $44,747"
"2018","16","16051","Jefferson County (ID)","29,318","2,657","2,105","3,209","2,105 to 3,209","9.1","7.2","11.0","7.2 to 11.0","9,987","1,103","832","1,374","832 to 1,374","11.0","8.3","13.7","8.3 to 13.7","7,472","697","480","914","480 to 914","9.3","6.4","12.2","6.4 to 12.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$61,927","$56,348","$67,506","$56,348 to $67,506"
"2018","16","16053","Jerome County (ID)","23,819","2,974","2,315","3,633","2,315 to 3,633","12.5","9.7","15.3","9.7 to 15.3","7,264","1,268","932","1,604","932 to 1,604","17.5","12.9","22.1","12.9 to 22.1","5,282","854","596","1,112","596 to 1,112","16.2","11.3","21.1","11.3 to 21.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,020","$49,136","$58,904","$49,136 to $58,904"
"2018","16","16055","Kootenai County (ID)","159,884","16,417","13,711","19,123","13,711 to 19,123","10.3","8.6","12.0","8.6 to 12.0","36,217","4,548","3,378","5,718","3,378 to 5,718","12.6","9.4","15.8","9.4 to 15.8","26,650","2,928","2,035","3,821","2,035 to 3,821","11.0","7.6","14.4","7.6 to 14.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$56,188","$52,775","$59,601","$52,775 to $59,601"
"2018","16","16057","Latah County (ID)","37,202","4,737","3,839","5,635","3,839 to 5,635","12.7","10.3","15.1","10.3 to 15.1","7,540","769","536","1,002","536 to 1,002","10.2","7.1","13.3","7.1 to 13.3","5,366","492","324","660","324 to 660","9.2","6.1","12.3","6.1 to 12.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$49,538","$46,082","$52,994","$46,082 to $52,994"
"2018","16","16059","Lemhi County (ID)","7,874","1,154","874","1,434","874 to 1,434","14.7","11.1","18.3","11.1 to 18.3","1,474","337","238","436","238 to 436","22.9","16.2","29.6","16.2 to 29.6","1,080","231","154","308","154 to 308","21.4","14.3","28.5","14.3 to 28.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,248","$39,485","$49,011","$39,485 to $49,011"
"2018","16","16061","Lewis County (ID)","3,830","542","422","662","422 to 662","14.2","11.1","17.3","11.1 to 17.3","860","200","142","258","142 to 258","23.3","16.5","30.1","16.5 to 30.1","664","136","91","181","91 to 181","20.5","13.7","27.3","13.7 to 27.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$44,911","$40,598","$49,224","$40,598 to $49,224"
"2018","16","16063","Lincoln County (ID)","5,301","731","581","881","581 to 881","13.8","11.0","16.6","11.0 to 16.6","1,526","308","229","387","229 to 387","20.2","15.1","25.3","15.1 to 25.3","1,163","217","157","277","157 to 277","18.7","13.5","23.9","13.5 to 23.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$50,464","$45,635","$55,293","$45,635 to $55,293"
"2018","16","16065","Madison County (ID)","38,661","9,232","8,020","10,444","8,020 to 10,444","23.9","20.8","27.0","20.8 to 27.0","10,525","1,726","1,308","2,144","1,308 to 2,144","16.4","12.4","20.4","12.4 to 20.4","6,742","1,085","760","1,410","760 to 1,410","16.1","11.3","20.9","11.3 to 20.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$41,827","$37,900","$45,754","$37,900 to $45,754"
"2018","16","16067","Minidoka County (ID)","20,713","2,577","2,009","3,145","2,009 to 3,145","12.4","9.7","15.1","9.7 to 15.1","5,841","931","675","1,187","675 to 1,187","15.9","11.5","20.3","11.5 to 20.3","4,182","650","454","846","454 to 846","15.5","10.8","20.2","10.8 to 20.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$53,447","$49,672","$57,222","$49,672 to $57,222"
"2018","16","16069","Nez Perce County (ID)","39,341","5,223","4,327","6,119","4,327 to 6,119","13.3","11.0","15.6","11.0 to 15.6","8,317","1,252","936","1,568","936 to 1,568","15.1","11.3","18.9","11.3 to 18.9","5,940","802","570","1,034","570 to 1,034","13.5","9.6","17.4","9.6 to 17.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,476","$49,326","$59,626","$49,326 to $59,626"
"2018","16","16071","Oneida County (ID)","4,430","502","389","615","389 to 615","11.3","8.7","13.9","8.7 to 13.9","1,259","187","136","238","136 to 238","14.9","10.9","18.9","10.9 to 18.9","990","130","89","171","89 to 171","13.1","9.0","17.2","9.0 to 17.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,602","$47,039","$58,165","$47,039 to $58,165"
"2018","16","16073","Owyhee County (ID)","11,531","1,692","1,286","2,098","1,286 to 2,098","14.7","11.2","18.2","11.2 to 18.2","2,958","657","468","846","468 to 846","22.2","15.8","28.6","15.8 to 28.6","2,207","436","289","583","289 to 583","19.8","13.1","26.5","13.1 to 26.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$48,192","$44,113","$52,271","$44,113 to $52,271"
"2018","16","16075","Payette County (ID)","23,369","2,988","2,355","3,621","2,355 to 3,621","12.8","10.1","15.5","10.1 to 15.5","6,079","981","701","1,261","701 to 1,261","16.1","11.5","20.7","11.5 to 20.7","4,550","696","478","914","478 to 914","15.3","10.5","20.1","10.5 to 20.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,835","$46,464","$57,206","$46,464 to $57,206"
"2018","16","16077","Power County (ID)","7,703","1,056","802","1,310","802 to 1,310","13.7","10.4","17.0","10.4 to 17.0","2,400","466","331","601","331 to 601","19.4","13.8","25.0","13.8 to 25.0","1,746","325","218","432","218 to 432","18.6","12.5","24.7","12.5 to 24.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,921","$47,184","$56,658","$47,184 to $56,658"
"2018","16","16079","Shoshone County (ID)","12,598","2,371","1,899","2,843","1,899 to 2,843","18.8","15.1","22.5","15.1 to 22.5","2,589","638","454","822","454 to 822","24.6","17.5","31.7","17.5 to 31.7","1,821","434","297","571","297 to 571","23.8","16.3","31.3","16.3 to 31.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$36,085","$32,803","$39,367","$32,803 to $39,367"
"2018","16","16081","Teton County (ID)","11,610","888","659","1,117","659 to 1,117","7.6","5.6","9.6","5.6 to 9.6","2,831","309","216","402","216 to 402","10.9","7.6","14.2","7.6 to 14.2","2,111","219","146","292","146 to 292","10.4","7.0","13.8","7.0 to 13.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$68,749","$61,941","$75,557","$61,941 to $75,557"
"2018","16","16083","Twin Falls County (ID)","84,924","11,547","9,544","13,550","9,544 to 13,550","13.6","11.2","16.0","11.2 to 16.0","23,337","3,954","3,006","4,902","3,006 to 4,902","16.9","12.8","21.0","12.8 to 21.0","17,098","2,635","1,920","3,350","1,920 to 3,350","15.4","11.2","19.6","11.2 to 19.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,594","$48,603","$54,585","$48,603 to $54,585"
"2018","16","16085","Valley County (ID)","10,965","921","695","1,147","695 to 1,147","8.4","6.3","10.5","6.3 to 10.5","1,988","277","197","357","197 to 357","13.9","9.9","17.9","9.9 to 17.9","1,478","193","130","256","130 to 256","13.1","8.8","17.4","8.8 to 17.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$60,285","$53,848","$66,722","$53,848 to $66,722"
"2018","16","16087","Washington County (ID)","10,034","1,537","1,195","1,879","1,195 to 1,879","15.3","11.9","18.7","11.9 to 18.7","2,265","509","373","645","373 to 645","22.5","16.5","28.5","16.5 to 28.5","1,693","341","239","443","239 to 443","20.1","14.1","26.1","14.1 to 26.1","NA","NA","NA","NA","NA","NA","NA","NA","NA","$43,402","$38,969","$47,835","$38,969 to $47,835"
"2018","17","17000","Illinois","12,447,296","1,509,348","1,485,972","1,532,724","1,485,972 to 1,532,724","12.1","11.9","12.3","11.9 to 12.3","2,817,432","457,282","442,712","471,852","442,712 to 471,852","16.2","15.7","16.7","15.7 to 16.7","2,061,744","314,467","301,816","327,118","301,816 to 327,118","15.3","14.7","15.9","14.7 to 15.9","744,070","131,558","124,748","138,368","124,748 to 138,368","17.7","16.8","18.6","16.8 to 18.6","$65,063","$64,570","$65,556","$64,570 to $65,556"
"2018","17","17001","Adams County (IL)","63,625","7,803","6,665","8,941","6,665 to 8,941","12.3","10.5","14.1","10.5 to 14.1","14,441","2,295","1,762","2,828","1,762 to 2,828","15.9","12.2","19.6","12.2 to 19.6","10,368","1,483","1,063","1,903","1,063 to 1,903","14.3","10.2","18.4","10.2 to 18.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,174","$50,828","$59,520","$50,828 to $59,520"
"2018","17","17003","Alexander County (IL)","5,978","1,650","1,260","2,040","1,260 to 2,040","27.6","21.1","34.1","21.1 to 34.1","1,382","615","443","787","443 to 787","44.5","32.0","57.0","32.0 to 57.0","987","432","298","566","298 to 566","43.8","30.2","57.4","30.2 to 57.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$35,249","$31,630","$38,868","$31,630 to $38,868"
"2018","17","17005","Bond County (IL)","14,990","2,075","1,682","2,468","1,682 to 2,468","13.8","11.2","16.4","11.2 to 16.4","3,169","579","434","724","434 to 724","18.3","13.7","22.9","13.7 to 22.9","2,380","383","274","492","274 to 492","16.1","11.5","20.7","11.5 to 20.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,800","$49,055","$60,545","$49,055 to $60,545"
"2018","17","17007","Boone County (IL)","53,113","4,909","3,989","5,829","3,989 to 5,829","9.2","7.5","10.9","7.5 to 10.9","13,111","1,773","1,375","2,171","1,375 to 2,171","13.5","10.5","16.5","10.5 to 16.5","10,111","1,165","864","1,466","864 to 1,466","11.5","8.5","14.5","8.5 to 14.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$74,507","$67,849","$81,165","$67,849 to $81,165"
"2018","17","17009","Brown County (IL)","4,546","674","505","843","505 to 843","14.8","11.1","18.5","11.1 to 18.5","1,011","150","108","192","108 to 192","14.8","10.7","18.9","10.7 to 18.9","727","104","72","136","72 to 136","14.3","9.9","18.7","9.9 to 18.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,327","$49,251","$61,403","$49,251 to $61,403"
"2018","17","17011","Bureau County (IL)","32,449","3,751","3,093","4,409","3,093 to 4,409","11.6","9.6","13.6","9.6 to 13.6","6,917","1,183","889","1,477","889 to 1,477","17.1","12.8","21.4","12.8 to 21.4","5,179","796","572","1,020","572 to 1,020","15.4","11.1","19.7","11.1 to 19.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$56,099","$51,413","$60,785","$51,413 to $60,785"
"2018","17","17013","Calhoun County (IL)","4,721","520","407","633","407 to 633","11.0","8.6","13.4","8.6 to 13.4","978","150","114","186","114 to 186","15.3","11.7","18.9","11.7 to 18.9","739","102","75","129","75 to 129","13.8","10.2","17.4","10.2 to 17.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$56,099","$50,202","$61,996","$50,202 to $61,996"
"2018","17","17015","Carroll County (IL)","14,063","1,598","1,280","1,916","1,280 to 1,916","11.4","9.1","13.7","9.1 to 13.7","2,701","458","340","576","340 to 576","17.0","12.6","21.4","12.6 to 21.4","1,977","308","210","406","210 to 406","15.6","10.7","20.5","10.7 to 20.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,963","$47,439","$56,487","$47,439 to $56,487"
"2018","17","17017","Cass County (IL)","12,043","1,448","1,127","1,769","1,127 to 1,769","12.0","9.3","14.7","9.3 to 14.7","2,846","449","320","578","320 to 578","15.8","11.3","20.3","11.3 to 20.3","2,032","303","205","401","205 to 401","14.9","10.1","19.7","10.1 to 19.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,486","$47,744","$57,228","$47,744 to $57,228"
"2018","17","17019","Champaign County (IL)","193,743","37,121","33,401","40,841","33,401 to 40,841","19.2","17.3","21.1","17.3 to 21.1","38,707","6,755","5,268","8,242","5,268 to 8,242","17.5","13.7","21.3","13.7 to 21.3","27,080","4,640","3,520","5,760","3,520 to 5,760","17.1","13.0","21.2","13.0 to 21.2","NA","NA","NA","NA","NA","NA","NA","NA","NA","$53,251","$51,049","$55,453","$51,049 to $55,453"
"2018","17","17021","Christian County (IL)","30,995","3,882","3,103","4,661","3,103 to 4,661","12.5","10.0","15.0","10.0 to 15.0","6,441","1,155","839","1,471","839 to 1,471","17.9","13.0","22.8","13.0 to 22.8","4,786","750","517","983","517 to 983","15.7","10.8","20.6","10.8 to 20.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,936","$48,289","$57,583","$48,289 to $57,583"
"2018","17","17023","Clark County (IL)","15,310","1,702","1,311","2,093","1,311 to 2,093","11.1","8.5","13.7","8.5 to 13.7","3,472","561","405","717","405 to 717","16.2","11.7","20.7","11.7 to 20.7","2,555","391","271","511","271 to 511","15.3","10.6","20.0","10.6 to 20.0","NA","NA","NA","NA","NA","NA","NA","NA","NA","$54,092","$48,695","$59,489","$48,695 to $59,489"
"2018","17","17025","Clay County (IL)","13,023","1,865","1,513","2,217","1,513 to 2,217","14.3","11.6","17.0","11.6 to 17.0","2,971","558","406","710","406 to 710","18.8","13.7","23.9","13.7 to 23.9","2,177","384","268","500","268 to 500","17.6","12.3","22.9","12.3 to 22.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$45,427","$40,628","$50,226","$40,628 to $50,226"
"2018","17","17027","Clinton County (IL)","35,537","2,924","2,311","3,537","2,311 to 3,537","8.2","6.5","9.9","6.5 to 9.9","7,791","797","590","1,004","590 to 1,004","10.2","7.5","12.9","7.5 to 12.9","5,624","570","414","726","414 to 726","10.1","7.3","12.9","7.3 to 12.9","NA","NA","NA","NA","NA","NA","NA","NA","NA","$66,597","$61,017","$72,177","$61,017 to $72,177"
"2018","17","17029","Coles County (IL)","47,736","9,554","8,076","11,032","8,076 to 11,032","20.0","16.9","23.1","16.9 to 23.1","9,003","1,960","1,513","2,407","1,513 to 2,407","21.8","16.8","26.8","16.8 to 26.8","6,487","1,327","988","1,666","988 to 1,666","20.5","15.3","25.7","15.3 to 25.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$47,291","$43,000","$51,582","$43,000 to $51,582"
"2018","17","17031","Cook County (IL)","5,094,765","701,869","679,098","724,640","679,098 to 724,640","13.8","13.4","14.2","13.4 to 14.2","1,115,929","210,345","198,055","222,635","198,055 to 222,635","18.8","17.7","19.9","17.7 to 19.9","801,709","148,541","139,229","157,853","139,229 to 157,853","18.5","17.3","19.7","17.3 to 19.7","NA","NA","NA","NA","NA","NA","NA","NA","NA","$63,347","$62,265","$64,429","$62,265 to $64,429"
"2018","17","17033","Crawford County (IL)","17,322","2,052","1,564","2,540","1,564 to 2,540","11.8","9.0","14.6","9.0 to 14.6","3,649","624","447","801","447 to 801","17.1","12.2","22.0","12.2 to 22.0","2,655","433","296","570","296 to 570","16.3","11.2","21.4","11.2 to 21.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$52,313","$47,553","$57,073","$47,553 to $57,073"
"2018","17","17035","Cumberland County (IL)","10,649","1,248","1,007","1,489","1,007 to 1,489","11.7","9.4","14.0","9.4 to 14.0","2,352","357","261","453","261 to 453","15.2","11.1","19.3","11.1 to 19.3","1,705","240","168","312","168 to 312","14.1","9.9","18.3","9.9 to 18.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$60,572","$55,779","$65,365","$55,779 to $65,365"
"2018","17","17037","DeKalb County (IL)","98,325","12,877","11,004","14,750","11,004 to 14,750","13.1","11.2","15.0","11.2 to 15.0","21,951","2,903","2,216","3,590","2,216 to 3,590","13.2","10.1","16.3","10.1 to 16.3","16,115","1,944","1,426","2,462","1,426 to 2,462","12.1","8.9","15.3","8.9 to 15.3","NA","NA","NA","NA","NA","NA","NA","NA","NA","$63,274","$59,423","$67,125","$59,423 to $67,125"
"2018","17","17039","De Witt County (IL)","15,468","1,707","1,344","2,070","1,344 to 2,070","11.0","8.7","13.3","8.7 to 13.3","3,293","574","436","712","436 to 712","17.4","13.2","21.6","13.2 to 21.6","2,461","348","237","459","237 to 459","14.1","9.6","18.6","9.6 to 18.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$55,300","$49,990","$60,610","$49,990 to $60,610"
"2018","17","17041","Douglas County (IL)","19,270","1,764","1,415","2,113","1,415 to 2,113","9.2","7.4","11.0","7.4 to 11.0","4,773","635","460","810","460 to 810","13.3","9.6","17.0","9.6 to 17.0","3,520","415","287","543","287 to 543","11.8","8.2","15.4","8.2 to 15.4","NA","NA","NA","NA","NA","NA","NA","NA","NA","$56,976","$52,419","$61,533","$52,419 to $61,533"
"2018","17","17043","DuPage County (IL)","915,162","60,169","54,339","65,999","54,339 to 65,999","6.6","6.0","7.2","6.0 to 7.2","208,943","16,581","13,926","19,236","13,926 to 19,236","7.9","6.6","9.2","6.6 to 9.2","154,205","11,173","9,173","13,173","9,173 to 13,173","7.2","5.9","8.5","5.9 to 8.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","$93,540","$90,453","$96,627","$90,453 to $96,627"
"2018","17","17045","Edgar County (IL)","17,043","2,297","1,819","2,775","1,819 to 2,775","13.5","10.7","16.3","10.7 to 16.3","3,452","674","489","859","489 to 859","19.5","14.1","24.9","14.1 to 24.9","2,554","468","328","608","328 to 608","18.3","12.8","23.8","12.8 to 23.8","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,577","$46,907","$56,247","$46,907 to $56,247"
"2018","17","17047","Edwards County (IL)","6,324","701","538","864","538 to 864","11.1","8.5","13.7","8.5 to 13.7","1,393","205","148","262","148 to 262","14.7","10.6","18.8","10.6 to 18.8","1,049","141","97","185","97 to 185","13.4","9.2","17.6","9.2 to 17.6","NA","NA","NA","NA","NA","NA","NA","NA","NA","$51,280","$46,367","$56,193","$46,367 to $56,193"
